#	Country	Population
(2020)	Land Area
(Km²)	Density
(P/Km²)
10	Austria	9,006,398	82,409	109
11	Azerbaijan	10,139,177	82,658	123
12	Bahamas	393,244	10,010	39
13	Bahrain	1,701,575	760	2,239
14	Bangladesh	164,689,383	130,170	1,265
15	Barbados	287,375	430	668
16	Belarus	9,449,323	202,910	47
17	Belgium	11,589,623	30,280	383
18	Belize	397,628	22,810	17
19	Benin	12,123,200	112,760	108
20	Bhutan	771,608	38,117	20
21	Bolivia	11,673,021	1,083,300	11
22	Bosnia and Herzegovina	3,280,819	51,000	64
23	Botswana	2,351,627	566,730	4
